iter	Passed	Remaining
462	767	889
463	768	887
464	769	885
465	771	883
466	772	881
467	773	879
468	774	877
469	776	875
470	777	873
471	778	870
472	779	868
473	781	867
474	783	865
475	784	863
476	785	861
477	786	859
478	788	857
479	789	855
480	791	853
481	792	851
482	793	849
483	795	847
484	796	845
485	797	843
486	798	841
487	800	839
488	801	837
489	802	835
490	804	833
491	805	831
492	806	829
493	808	827
494	809	825
495	810	823
496	812	821
497	813	819
498	814	818
499	816	816
500	817	814
501	818	812
502	819	810
503	821	808
504	822	806
505	823	804
506	824	802
507	826	800
508	827	798
509	828	796
510	830	794
511	831	792
512	832	790
513	834	788
514	835	786
515	836	784
516	838	783
517	839	780
518	840	779
519	841	777
520	843	775
521	844	773
522	845	771
523	847	769
524	848	767
525	849	765
526	851	763
527	852	762
528	853	760
529	854	758
530	856	756
531	857	754
532	858	752
533	860	750
534	861	748
535	862	747
536	864	745
537	865	743
538	866	741
539	868	740
540	870	738
541	871	736
542	872	734
543	874	732
544	875	730
545	876	728
546	877	726
547	879	725
548	880	723
549	881	721
550	882	719
551	884	717
552	885	715
553	886	713
554	887	711
555	889	710
556	890	708
557	891	706
558	892	704
559	894	702
560	895	700
561	896	698
562	898	697
563	899	695
564	900	693
565	902	691
566	903	689
567	904	688
568	906	686
569	907	684
570	908	682
571	909	680
572	911	679
573	912	677
574	913	675
575	915	673
576	916	671
577	917	669
578	918	668
579	920	666
580	921	664
581	922	662
582	923	660
583	925	658
584	926	657
585	927	655
586	928	653
587	930	651
588	931	650
589	932	648
590	933	646
591	935	644
592	936	642
593	937	641
594	939	639
595	940	637
596	941	635
597	943	634
598	944	632
599	945	630
600	947	628
601	948	627
602	949	625
603	951	623
604	952	621
605	953	620
606	954	618
607	956	616
608	957	614
609	958	612
610	960	611
611	961	609
612	962	607
613	963	605
614	965	604
615	966	602
616	967	600
617	969	599
618	970	597
619	972	595
620	973	594
621	974	592
622	976	590
623	977	589
624	978	587
625	980	585
626	981	583
627	982	581
628	983	580
629	985	578
630	986	576
631	987	575
632	989	573
633	990	571
634	991	570
635	993	568
636	994	566
637	995	565
638	997	563
639	998	561
640	999	559
641	1001	558
642	1002	556
643	1003	554
644	1004	552
645	1005	551
646	1007	549
647	1008	547
648	1009	546
649	1011	544
650	1012	542
651	1013	541
652	1015	539
653	1016	537
654	1018	536
655	1019	534
656	1020	532
657	1021	531
658	1023	529
659	1024	527
660	1025	525
661	1026	524
662	1028	522
663	1029	521
664	1031	519
665	1032	517
666	1033	516
667	1034	514
668	1036	512
669	1037	510
670	1038	509
671	1039	507
672	1041	505
673	1042	504
674	1044	502
675	1045	501
676	1047	499
677	1048	497
678	1049	496
679	1050	494
680	1052	492
681	1053	491
682	1054	489
683	1055	487
684	1056	485
685	1057	484
686	1059	482
687	1060	480
688	1062	479
689	1063	477
690	1064	476
691	1065	474
692	1067	472
693	1068	471
694	1069	469
695	1070	467
696	1072	466
697	1073	464
698	1074	462
699	1076	461
700	1077	459
701	1078	457
702	1080	456
703	1081	454
704	1082	453
705	1083	451
706	1085	449
707	1086	448
708	1087	446
709	1089	444
710	1090	443
711	1091	441
712	1093	440
713	1094	438
714	1095	436
715	1096	435
716	1098	433
717	1099	431
718	1100	430
719	1102	428
720	1103	427
721	1105	425
722	1106	423
723	1108	422
724	1109	420
725	1111	419
726	1112	417
727	1114	416
728	1115	414
729	1116	413
730	1118	411
731	1119	409
732	1121	408
733	1122	406
734	1124	405
735	1125	403
736	1126	402
737	1128	400
738	1129	398
739	1130	397
740	1131	395
741	1133	394
742	1134	392
743	1136	390
744	1137	389
745	1138	387
746	1140	386
747	1141	384
748	1142	382
749	1144	381
750	1145	379
751	1146	378
752	1148	376
753	1149	375
754	1151	373
755	1152	371
756	1153	370
757	1154	368
758	1156	367
759	1157	365
760	1158	363
761	1160	362
762	1161	360
763	1163	359
764	1164	357
765	1165	356
766	1167	354
767	1168	353
768	1170	351
769	1171	349
770	1172	348
771	1173	346
772	1175	345
773	1176	343
774	1178	342
775	1179	340
776	1180	338
777	1182	337
778	1183	335
779	1185	334
780	1186	332
781	1187	331
782	1188	329
783	1190	327
784	1191	326
785	1192	324
786	1194	323
787	1195	321
788	1197	320
789	1198	318
790	1199	317
791	1201	315
792	1202	313
793	1203	312
794	1205	310
795	1206	309
796	1208	307
797	1209	306
798	1210	304
799	1212	303
800	1213	301
801	1214	299
802	1215	298
803	1217	296
804	1218	295
805	1219	293
806	1221	292
807	1222	290
808	1223	288
809	1225	287
810	1226	285
811	1228	284
812	1229	282
813	1230	281
814	1231	279
815	1233	278
816	1234	276
817	1235	274
818	1237	273
819	1238	271
820	1239	270
821	1241	268
822	1242	267
823	1243	265
824	1245	264
825	1246	262
826	1248	261
827	1249	259
828	1250	258
829	1252	256
830	1253	254
831	1254	253
832	1256	251
833	1257	250
834	1258	248
835	1260	247
836	1261	245
837	1262	244
838	1264	242
839	1265	241
840	1266	239
841	1268	238
842	1269	236
843	1271	234
844	1272	233
845	1273	231
846	1275	230
847	1276	228
848	1277	227
849	1278	225
850	1280	224
851	1281	222
852	1282	221
853	1284	219
854	1285	218
855	1287	216
856	1288	214
857	1289	213
858	1291	211
859	1292	210
860	1293	208
861	1294	207
862	1296	205
863	1297	204
864	1299	202
865	1300	201
866	1301	199
867	1302	198
868	1304	196
869	1305	195
870	1307	193
871	1308	192
872	1309	190
873	1310	188
874	1312	187
875	1313	185
876	1315	184
877	1316	182
878	1318	181
879	1319	179
880	1320	178
881	1322	176
882	1323	175
883	1325	173
884	1326	172
885	1328	170
886	1329	169
887	1330	167
888	1332	166
889	1333	164
890	1334	163
891	1336	161
892	1337	160
893	1338	158
894	1340	157
895	1341	155
896	1343	154
897	1344	152
898	1346	151
899	1347	149
900	1348	148
901	1350	146
902	1351	145
903	1352	143
904	1354	142
905	1355	140
906	1357	139
907	1358	137
908	1360	136
909	1361	134
910	1362	133
911	1364	131
912	1365	130
913	1366	128
914	1367	127
915	1369	125
916	1371	124
917	1372	122
918	1373	121
919	1375	119
920	1376	118
921	1377	116
922	1379	115
923	1380	113
924	1381	112
925	1383	110
926	1384	109
927	1385	107
928	1386	105
929	1388	104
930	1389	103
931	1391	101
932	1393	100
933	1394	98
934	1395	97
935	1396	95
936	1398	94
937	1399	92
938	1400	90
939	1402	89
940	1403	88
941	1404	86
942	1406	85
943	1407	83
944	1409	82
945	1410	80
946	1411	79
947	1413	77
948	1414	76
949	1415	74
950	1417	73
951	1418	71
952	1419	70
953	1421	68
954	1422	67
955	1424	65
956	1425	64
957	1426	62
958	1428	61
959	1429	59
960	1430	58
961	1432	56
962	1433	55
963	1435	53
964	1436	52
965	1437	50
966	1439	49
967	1440	47
968	1441	46
969	1443	44
970	1444	43
971	1445	41
972	1447	40
973	1448	38
974	1450	37
975	1451	35
976	1453	34
977	1454	32
978	1456	31
979	1458	29
980	1459	28
981	1461	26
982	1462	25
983	1464	23
984	1466	22
985	1467	20
986	1469	19
987	1470	17
988	1472	16
989	1473	14
990	1475	13
991	1476	11
992	1478	10
993	1479	8
994	1481	7
995	1482	5
996	1484	4
997	1485	2
998	1487	1
999	1488	0
